title,genre,language,release_date,imdb_score,cast,directors,movie_duration,plot_keywords,genres,movie_tone
Triumph of Justice,Crime,hi,1924-01-01,0.0,['G. Mohanial Dave'],['Homi Master'],unknown,"['known', 'veiled', 'intent', 'scandal', 'champsi', 'murder', 'haridas', 'film', 'claimed', 'bombay', 'allusions', 'realist', 'case', 'major']",['Crime'],['neutral']
Sushila the Virtous,"Drama, Crime",hi,1924-01-01,0.0,"['G. Mohanial Dave', 'G.Mohanial Dave']",['Kanjibhai Rathod'],unknown,"['story', 'uphold', 'wife', 'marital', 'suitor', 'claims', 'virtue', 'tells', 'tradition', 'suspect', 'arrives', 'life', 'social', 'peaceful', 'domesticated', 'female', 'prompts', 'drives', 'sushila', 'virtuous', 'leads', 'love', 'jaswant', 'visitor', 'appearance', 'fidelity', 'husband', 'pratap']","['Drama', 'Crime']","['serious', 'neutral', 'uplifting']"
The Debt of Sin,"Drama, Crime",hi,1924-01-01,0.0,['Naval Gandhi'],['Ardeshir Irani'],unknown,"['swindles', 'aged', 'setting', 'young', 'ruins', 'contemporary', 'film', 'plot', 'door', 'influence', 'woman', 'moralistic', 'lover', 'social', 'jairam', 'neighbor', 'concerns', 'sarojini', 'jailbird', 'thakurdas', 'cousin', 'husband']","['Drama', 'Crime']","['neutral', 'serious', 'emotional']"
20th Century,Drama,hi,1924-01-01,0.0,['G. Mohanial Dave'],['Homi Master'],unknown,"['british', 'devdas', 'cotton', 'fortune', 'callous', 'realist', 'hawker', 'mill', 'knighted', 'owner', 'exploitative', 'film', 'snob', 'tells', 'goes', 'street', 'city', 'bombay', 'social', 'successful', 'initiating', 'industrial', 'attacks', 'parvenu', 'reformist', 'melodrama', 'genre', 'class']",['Drama'],"['neutral', 'serious', 'emotional']"
Prithvi Vallabh,"Drama, History",hi,1924-01-04,5.0,"['K.M. Munshi', 'D.S. Shirur']",['Manilal Joshi'],unknown,"['sister', 'fall', 'story', 'dharavati', 'falls', 'king', 'king munja', 'patron', 'orders', 'hands', 'arch', 'fatma', 'silent', 'death', 'received', 'assistance', 'minalvati', 'arts', 'held', 'ruler', 'famed', 'aranti', 'film', 'warrior', 'widow', 'enemy', 'spirit', 'begum', 'fatma begum', 'powerful', 'munja', 'historical', 'love', 'break', 'wants', 'seminal', 'tailap', 'altekar', 'sandow', 'bhillam', 'features']","['Drama', 'History']","['serious', 'neutral', 'uplifting']"
Wife and the Vampire,Horror,hi,1925-01-01,0.0,[],[],unknown,"['horror', 'movie', 'indian', '1925']",['Horror'],"['dark', 'neutral', 'intense']"
Black Serpent,Horror,hi,1925-01-01,0.0,['Zillu'],['Bhagwati Prasad Mishra'],unknown,"['horror', 'movie', 'indian', '1925']",['Horror'],"['dark', 'neutral', 'intense']"
Social Pirates,"Drama, Crime",hi,1925-01-01,0.0,"['Nanubhai B. Desai', 'Nirbhay Shankar', 'Nirbhayshankar Thakkar']",['Nanubhai B. Desai'],unknown,"['develops', 'rich', 'heir', 'bored', 'falls', 'embezzles', 'eliminate', 'millionarie', 'frames', 'western', 'affair', 'ratanlal', 'dhairyadhar', 'sincere', 'rs', 'millionarie ratanlal', 'manhar', 'old', 'crime', 'marriage', 'faithful', 'decide', 'man', 'imprisoned', 'mohini', 'educated', 'anglicised', 'managers', 'love', 'office', 'crook', '50,000', 'marries']","['Drama', 'Crime']","['serious', 'suspenseful', 'neutral']"
Kulin Kanta,Crime,hi,1925-01-01,0.0,['G. Mohanial Dave'],['Homi Master'],unknown,"['moti', 'story', 'murder', 'derived', 'fact', 'kidnapped', 'named', 'advances', 'holkar', 'film', 'spurned', 'killed', 'mumtaz', 'fell', 'man', 'dancing', 'bawla', 'view', 'girl', 'public', 'love', 'maharaja', 'case', 'loved']",['Crime'],"['neutral', 'uplifting']"
The Light of Asia,Drama,hi,1925-10-22,6.4,"['Edwin Arnold', 'Niranjan Pal']","['Franz Osten', 'Himanshu Rai']",unknown,"['asia', 'attraction', 'privileged', 'suffering', 'discover', 'wife', 'finding', 'superimposed', 'indolent', 'kingdom', 'pain', 'devi', 'spirituality', 'helped', 'world', 'founding', 'images', 'palace', 'combines', 'light', 'surefire', 'considerable', 'destined', 'living', 'prince', 'existence', 'seeta', 'greater', 'felt', 'impressive', 'prince gautama', 'wandering', 'seeta devi', 'family', 'harshness', 'exotica', 'truths', 'insulated', 'luxurious', 'life', 'learn', 'enlightenment', 'featuring', 'abandons', 'rai', 'gautama', 'gopa', 'buddhism', 'light of asia', 'teacher', 'indian', 'shots', 'time', 'focus', 'shocked', 'success', 'deep', 'europe']",['Drama'],"['thought-provoking', 'serious', 'neutral']"
Wandering Phantom,Horror,hi,1926-01-01,0.0,[],['Mohan Dayaram Bhavnani'],unknown,"['horror', 'movie', '1926', 'indian']",['Horror'],"['dark', 'neutral', 'intense']"
Typist Girl,Drama,hi,1926-10-30,0.0,['G.Mohanial Dave'],"['Devare S. Gajanan', 'Chandulal Shah']",unknown,"['sulochana', 'released', 'ruby mayer', 'ruby', 'indian', 'film', 'mayer', 'starring', 'silent', '1926']",['Drama'],"['neutral', 'serious', 'emotional']"
Sati Savitri,"Drama, Fantasy",hi,1927-01-01,0.0,"['Sushila Bai', 'Anusuya Bai', 'Gulab Bai']",['Baburao Painter'],unknown,"['yama', 'tale', 'painter', 'feature', 'silent', 'only 32 minutes', 'death', '1927', 'legendary', 'lord', 'narrates', 'satisavitri', 'savitri', 'exists', 'minutes', 'won', 'mythological', 'love', 'baburao painter’s', 'devotion', 'husband', 'baburao']","['Drama', 'Fantasy']","['serious', 'neutral', 'uplifting']"
Wildcat of Bombay,"Crime, Drama",hi,1927-02-26,0.0,['Desai'],['Mohan Dayaram Bhavnani'],unknown,"['sulochana', 'gentleman', 'played', 'story', 'revolves', 'seller', 'policeman', 'film', 'hyderabadi', 'banana', 'old', 'street', 'gives', 'separate', 'roles', 'money', 'blonde', 'gardener', 'expert', 'pickpocket', 'actress', 'urchin', 'characters', 'charity', 'european']","['Crime', 'Drama']","['neutral', 'serious', 'emotional']"
Sacrifice,Drama,hi,1927-03-01,0.0,"['Jamshed Ratnagar', 'Rabindranath Tagore']",['Naval Gandhi'],unknown,"['taken', 'story', 'revolves', 'king', 'sacrifice', 'ritual', 'priest', 'obsolete', 'contemporary', 'queen', 'film', 'animal', 'inhuman', 'servant', 'questioning', 'rituals', 'conflict', 'blood', 'childless', 'pet', 'dramatic', 'pivot', 'beggar', 'enlightenment', 'girl', 'traditional', 'reformist', 'temple', 'banned', 'loves', 'addresses', 'goat', 'calls', 'validity']",['Drama'],"['neutral', 'serious', 'emotional']"
Anarkali,Drama,hi,1928-07-14,0.0,['Narayan Vijay Thakur'],['R.S. Choudhury'],unknown,"['ruby', 'ruby myers', 'film', 'myers', 'starring']",['Drama'],"['neutral', 'serious', 'emotional']"
Madhuri,Drama,hi,1928-08-18,0.0,['Vasantrai H. Desai'],['R.S. Choudhury'],unknown,"['unknown', 'follows', 'helps', 'fell', 'story', 'kind', 'brave', 'love', 'dangers', 'prince', 'facing', 'face', 'danger', 'warrior', 'evil', 'princess']",['Drama'],"['serious', 'neutral', 'uplifting']"
Cruel Sorceress,"Horror, Fantasy",hi,1929-01-01,0.0,"['Navinchandra', 'Zebunissa', 'Pehalwan Nandram']",['Anand Prasad Kapoor'],unknown,"['horror', 'movie', '1929', 'indian']","['Horror', 'Fantasy']","['dark', 'neutral', 'intense']"
Anarbala,"Horror, Fantasy",hi,1929-01-01,0.0,"['Zebunissa', 'Master Vithal', 'Lobo']",['Bhagwati Prasad Mishra'],unknown,"['pair', 'young', 'adventurous', 'horse', 'aid', 'magic', 'fast', 'lighting', 'mystical', 'lady', 'sandals', 'zebunissa', 'stick']","['Horror', 'Fantasy']","['dark', 'neutral', 'intense']"
A Throw of Dice,"Drama, Adventure, Romance",hi,1929-08-16,6.259,"['Niranjan Pal', 'W.A. Burton', 'Max Jungk']",['Franz Osten'],1h 25m,"['sohat', 'addicted', 'sunita', 'young', 'kanwa', 'neighboring', 'kings', 'daughter', 'beautiful', 'gambling', 'hermit', 'woman', 'ranjit', 'cousin', 'vie']","['Drama', 'Adventure', 'Romance']","['serious', 'neutral', 'heartwarming']"
Indira B.A.,Drama,hi,1929-10-19,0.0,['Vasantrai H. Desai'],['R.S. Choudhury'],unknown,"['released', '1929', 'indian', 'film']",['Drama'],"['neutral', 'serious', 'emotional']"
Bhoot Raja,Horror,hi,1931-01-01,0.0,[],[],unknown,"['horror', '1931', 'movie', 'indian']",['Horror'],"['dark', 'neutral', 'intense']"
The Light of the World,Fantasy,hi,1931-03-14,6.0,"['Joseph David', 'Ardeshir Irani']",['Ardeshir Irani'],unknown,"[""alam ara's"", 'alam', 'adil', 'heir', 'fantasy', 'daughter', 'zubeida', 'king', 'chief', 'nomads', 'palace', 'dungeon', 'schemes', 'prince', 'dilbahar', 'queens', 'period', 'realm', 'alam ara', 'family', 'ara', 'ageing', 'predicts', 'rival', 'friends', 'seduce', 'told', 'release', 'rivalry', 'tries', 'vithal', 'leaving', 'fakir', 'marries', 'raised', 'bear', 'navbahar', 'army', 'destroys', 'nomad', 'expose', 'kamarpur', 'invade']",['Fantasy'],"['neutral', 'heartwarming']"
Diler Jagar,"Action, Adventure, Drama",hi,1931-10-04,5.7,['G.P. Pawar'],['S.S.Agarwal'],1h 44m,"['fearless', 'saranga', 'type', 'chandrapratab', 'trying', 'king', 'forest', 'magadh', 'infant', 'silent', 'partner', 'attempts', 'restored', 'kidnapped', 'dozens', 'pawar', 'zorr', 'mask', 'rejected', 'wealth', 'son', 'film', 'prince', 'fights', 'royal', 'plate', 'tells', 'lover', 'acrobat', 'loyal', 'throne', 'fight', 'kalsen', 'silver', 'hand', 'credited', 'libertine', 'shoulder', 'reunited', 'grows', 'sardar', 'beautiful', 'ambu', 'seduce', 'tempted', 'distributing', 'brother', 'end', 'dons', 'smuggled', 'liberate', 'described', 'takes', 'good', 'recognized', 'opens', 'ministers', 'hamir', 'staged', 'avenger', 'love', 'satyapal', 'ramanaraj', 'soldiers', 'crowd', 'shots', 'waiting', 'promises', 'charity', 'evil', 'poisoned', 'turns', 'perfect']","['Action', 'Adventure', 'Drama']","['uplifting', 'tense', 'serious']"
Madhuri,"Drama, Action, Adventure",hi,1932-01-01,0.0,['G. Mohanial Dave'],['R.S. Choudhury'],unknown,"['battles', 'commander', 'ujjain', 'gupta', 'tikka', 'kingdoms', 'amber', 'prince', 'rescues', 'kanauj', 'amber, prince tikka', 'depicts', 'period', 'featuring', 'madhuri', 'defeats']","['Drama', 'Action', 'Adventure']","['tense', 'serious', 'dark']"
Draupadi,Drama,hi,1932-12-31,0.0,['Bhagwati Prasad Mishra'],['Bhagwati Prasad Mishra'],unknown,"['cinema', 'indian', 'daughter', '1931', 'king', 'film', 'sound', 'drupad', 'draupadi']",['Drama'],"['neutral', 'serious', 'emotional']"
Aurat Ka Pyaar,Drama,hi,1933-01-01,0.0,"['Anwari', 'Ali Athar', 'Bachan']",['Abdul Rashid Kardar'],unknown,"['anwari', 'begum', 'ali', 'film', 'athar', 'starring', 'ali athar', 'anwari begum']",['Drama'],"['neutral', 'serious', 'emotional']"
Miss 1933,"Crime, Drama",hi,1933-01-01,0.0,"['Gohar Jan', 'Mehtab', 'Eddie Billimoria']",['Chandulal Shah'],unknown,"['classic', 'melodrama', 'modernization', 'consequences', 'exploring', 'female', 'autonomy']","['Crime', 'Drama']","['neutral', 'serious', 'emotional']"
Indira M.A.,Drama,hi,1934-01-01,0.0,['G. Mohanial Dave'],['Nandlal Jaswantlal'],unknown,"['father', 'playboy', 'oxford', 'idiot', 'falls', 'alcoholic', 'chosen', 'girl', 'ma', 'rejects']",['Drama'],"['neutral', 'serious', 'emotional']"
Society's Mistake,"Drama, Crime",hi,1934-01-01,0.0,['Munshi Zameer'],['Homi Master'],unknown,"['right', 'remarry', 'violent', 'advocating', 'film', 'time', 'widow']","['Drama', 'Crime']","['neutral', 'serious', 'emotional']"
Seeta,Drama,hi,1934-12-30,0.0,"['Mukhtar Begum', 'Dhiraj Bhattacharya', 'Gul Hamid']",['Debaki Kumar Bose'],unknown,"['bengali', 'india', '1933', 'shown', 'film', 'debaki bose', 'seeta', 'east', '2nd', '1934', 'venice international film festival', 'bose', 'directed', 'produced', 'won', 'venice', 'debaki', 'honorary', 'festival', 'international', 'indian', 'diploma', 'the east india film', 'talkie', 'company.[1']",['Drama'],"['neutral', 'serious', 'emotional']"
The Mill,Drama,hi,1934-12-31,0.0,"['Mohan Dayaram Bhavnani', 'Munshi Premchand']",['Mohan Dayaram Bhavnani'],unknown,"['treatment', 'textile', 'realistic', 'bombay', 'working', 'industrial', 'conditions', 'class', 'mill']",['Drama'],"['neutral', 'serious', 'emotional']"
Wedding Night,"Horror, Thriller, Romance",hi,1935-01-01,0.0,"['Nargis', 'S.B. Nayampalli', 'Fatty Prasad']",['Mohan Dayaram Bhavnani'],unknown,"['causes', 'story', 'revolves', 'fortune', 'wanted', 'fells', 'sweet', 'wedding', 'role', 'living', 'fate', 'other-', 'plays', 'things', 'family', 'marriage', 'man', 'arranged', 'consequences', 'life', 'girl', 'complicated', 'meet', 'kind', 'love', 'leading']","['Horror', 'Thriller', 'Romance']","['scary', 'tense', 'dark']"
Anarkali,Drama,hi,1935-01-01,0.0,"['Dinshaw Billimoria', 'Jillo', 'Ruby Mayer']",['R.S. Choudhury'],unknown,"['ruby', 'ruby myers', 'film', 'myers', 'starring']",['Drama'],"['neutral', 'serious', 'emotional']"
Judgement of Allah,History,hi,1935-01-01,0.0,"['Mehboob Khan', 'Munshi Ehsan Lucknowi']",['Mehboob Khan'],unknown,"['message', 'caesar', 'falls', 'leila', 'guard', 'movie', 'empire', 'smuggles', 'captured', 'classic', 'sultan', 'kingdoms', 'armies', 'ottaman', 'son', 'written', 'ziyad', 'set', 'woman', 'period', 'roman', 'romans', 'blood', 'clash', 'princess', 'muslim', 'rahil', 'love', 'asks']",['History'],"['neutral', 'uplifting']"
Inquilab,Drama,hi,1935-01-01,6.0,['Debaki Kumar Bose'],['Debaki Kumar Bose'],unknown,"['disaster', 'khote', 'sardar', 'earthquake', 'miss', 'victims', 'wants', 'renee', 'drama', 'set', 'mohanned', 'money', 'lover', 'looks', 'bihar', 'businessman']",['Drama'],"['neutral', 'serious', 'emotional']"
Jawani Ki Hawa,"Romance, Crime, Thriller",hi,1935-01-01,0.0,"['J.S. Casshyap', 'S.I. Hassan', 'Niranjan Pal']",['Franz Osten'],unknown,"['thrown', 'couple', 'catches', 'murder', 'claiming', 'childhood', 'murderess', 'wedding', 'convict', 'evening', 'ratanlal', 'body', 'manganlal', 'alibi', 'tarachand', 'exchanges', 'admits', 'motive', 'sukhdev', 'elopes', 'train', 'gloom', 'chases', 'lunatic', 'furious', 'furnish', 'interrupted', 'father', 'mysterious', 'suspects', 'day', 'gunfire', 'guilt', 'kamala', 'robbery', 'insists', 'friend', 'confesses']","['Romance', 'Crime', 'Thriller']","['tense', 'suspenseful', 'neutral']"
Dhoop Chhaon,Drama,hi,1935-01-01,0.0,"['Nitin Bose', 'Sudarshan']",['Nitin Bose'],unknown,"['bengali', 'nitin', 'remake', 'bhagya', 'use', 'singing', 'hindi', 'nitin bose', 'bose', 'film', 'came', 'director', 'playback', 'idea', 'chakra']",['Drama'],"['neutral', 'serious', 'emotional']"
Vengeance Is Mine,Drama,hi,1935-01-02,0.0,"['Sabita Devi', 'Sitara Devi', 'Mehboob Khan']",['Sarvottam Badami'],unknown,"['sitara devi', 'film', 'sitara', 'starring', 'devi', 'kumar']",['Drama'],"['neutral', 'serious', 'emotional']"
Hunterwali,"Adventure, Action",hi,1935-01-02,0.0,"['Joseph David', 'Homi Wadia', 'J.B.H. Wadia']",['Homi Wadia'],unknown,"['motor', 'story', 'country', 'minister', 'cause', 'wicked', 'royal', 'adult', 'years', 'refusal', 'prime', 'father', 'gift', 'reward', 'opens', 'legend', 'admiration', 'showing', 'gold', 'king', 'hit', 'infant', 'jumping', 'people', 'masked', 'horse', 'nude', 'stunts', 'bathing', 'steals', 'chances', 'luxuries', 'brother', 'performer', 'compensation', 'takes', 'soldiers', 'krishnavati', 'punisher', 'captures', 'marry', 'describing', 'hunterwali', 'prize', 'thunderstorm', 'long', '20 years later', 'prologue', 'killed', 'nasty', 'brave', 'protector', 'princess', 'wants', 'fighting', 'house', 'madhuri', 'bag', '20', 'returns', 'thrown', 'attracts', 'car', 'sacrificed', 'claim', 'cartand', 'son', 'preceded', 'river', 'poor', 'duel', 'girl', 'imprisons', 'moving', 'indian', 'given', 'heroine', 'jaswant', 'punjab', 'evildoers', 'ranamal']","['Adventure', 'Action']","['dark', 'neutral', 'exciting']"
Madam Fashion,"Drama, Music",hi,1936-01-01,0.0,['Jaddanbai'],['Jaddanbai'],unknown,"['cars', 'india', 'fast', 'fashion', 'freedom', 'luxury', 'modern', 'girl', 'sexual']","['Drama', 'Music']","['neutral', 'serious', 'emotional']"
Miss Frontier Mail,Drama,hi,1936-01-02,0.0,['J.B.H. Wadia'],['Homi Wadia'],unknown,"['effects', 'maker', 'causes', 'maganlal', 'murder', 'defended', 'shyamlal', 'battle', 'promote', 'jayant', 'fact', 'bridge', 'caught', 'hero', 'extensive', 'hunter', 'sabotage', 'station', 'son', 'film', 'fights', 'signal x. shyamlal', 'fist', 'set', 'implicates', 'major', 'train', 'crime', 'indulges', 'heavy', 'arrested', 'new', 'nasty', 'miss', 'amateur', 'sundar', 'sound', 'brother', 'miss 1936', 'father', 'mysterious', 'president', 'signal x', 'signal', 'henchmen', 'nadia', 'airline', 'famous', 'moving', 'master', 'savita', 'smash', 'railway', 'uncle', 'overcomes']",['Drama'],"['serious', 'suspenseful', 'neutral']"
Devdas,"Drama, Romance",hi,1936-01-22,4.8,"['Sarat Chandra Chattopadhyay', 'P.C. Barua', 'Kidar Nath Sharma']",['P.C. Barua'],unknown,"['rich', 'prevent', 'devdas', 'daughter', 'aged', 'chandramukhi', 'childhood', 'sweethearts', 'alcohol', 'widower', 'married', 'meets', 'neighbour', 'zamindar', 'son', 'paro', 'calcutta', 'remorse', 'marriage', 'caste', 'differences', 'tawaif', 'drives', 'parvati', 'sent', 'class']","['Drama', 'Romance']","['thought-provoking', 'serious', 'neutral']"
Janmabhoomi,"Romance, Drama",hi,1936-04-03,0.0,"['J.S. Casshyap', 'Niranjan Pal']",['Franz Osten'],unknown,"['nationalist', 'janani', 'incurring', 'includes', 'rural', 'transmuted', 'working', 'behalf', 'similar', 'choruses', 'protima', 'hero', 'local', 'villainous', 'ajay', 'janmabhoomi', 'property', 'zamindar', 'plot', 'collaboration', 'film', 'drama', 'relentless', 'jai', 'song', 'conflict', 'villagers', ""janani janmabhoomi'"", 'ajau', 'girl', 'reigns', 'general', 'indian', 'sanatan', 'goodness', 'thrust', 'enmity', 'friend', 'persuades', 'class', 'bequeath']","['Romance', 'Drama']","['serious', 'neutral', 'heartwarming']"
Jeevan Naiya,Drama,hi,1936-05-02,4.0,"['J.S. Casshyap', 'Niranjan Pal']",['Franz Osten'],unknown,"['rich', 'nursed', 'wife', 'daughter', 'worker', 'blinded', 'marry', 'wedding', 'assembled', 'engaged', 'mathuradas', 'lata', 'truth', 'woman', 'chand', 'arrives', 'disclose', 'reunited', 'disowns', 'dancing', 'brought', 'guests', 'social', 'health', 'girl', 'villain', 'devoted', 'explosion', 'ancestry', 'ranjit', 'undisclosed', 'forced', 'blackmail', 'turns']",['Drama'],"['neutral', 'serious', 'emotional']"
Untouchable Girl,"Drama, Music",hi,1936-08-15,5.0,"['J.S. Casshyap', 'Niranjan Pal', 'Himanshu Rai']",['Franz Osten'],unknown,"['fall', 'boy', 'untouchable', 'villagers', 'love', 'strict', 'caste', 'system', 'gossip', 'threaten', 'girl', 'brahmin']","['Drama', 'Music']","['serious', 'neutral', 'uplifting']"
Amar Jyoti,"Drama, Adventure, Action, Music",hi,1936-08-15,0.0,"['K. Narayan Kale', 'Narottam Vyas']",['Shantaram Rajaram Vankudre'],unknown,"['war', 'laws', 'kingdom', 'extreme', 'infant', 'minister', 'seaport', 'declaring', 'young', 'tyrannical', 'son', 'woman', 'patriarchal', 'custody', 'faced', 'pirate', 'ancient', 'justice', 'state', 'denied', 'legal']","['Drama', 'Adventure', 'Action', 'Music']","['tense', 'serious', 'dark']"
Zinda Bhoot,Horror,hi,1937-01-01,0.0,[],[],unknown,"['horror', '1937', 'movie', 'indian']",['Horror'],"['dark', 'neutral', 'intense']"
Black Ghost,Horror,hi,1937-01-01,0.0,"['Bashir', 'Bose', 'Gohar Karnataki']",['A.M. Khan'],unknown,"['horror', '1937', 'movie', 'indian']",['Horror'],"['dark', 'neutral', 'intense']"
Gentleman Daku,"Action, Adventure",hi,1937-01-01,0.0,['Leela Chitnis'],['Ram Daryani'],unknown,"['family', 'follows', 'fall', 'causes', 'story', 'man', 'incident', 'trouble', 'brave', 'criminals', 'love', 'consequences', 'rescues', 'sweet', 'girl', 'leading']","['Action', 'Adventure']","['uplifting', 'tense', 'dark']"
Dhanwan,Drama,hi,1937-01-01,0.0,[],['Premankur Attorthy'],unknown,"['rattan bai', 'film', 'hafisji', 'bai', 'starring', 'rattan']",['Drama'],"['neutral', 'serious', 'emotional']"
Jeevan Swapna,"Drama, Music",hi,1937-01-01,0.0,"['Mehtab', 'A. Hussain', 'Maruti Rao']",['Jaddanbai'],unknown,"['jaddanbai', 'tale', 'cinema', 'traditional', 'journeys end', 'indian', '1892-1949', 'journeys', 'hussain', 'pioneers', 'told', 'end', 'jaddanbai hussain']","['Drama', 'Music']","['neutral', 'serious', 'emotional']"
Duniya Na Mane,Drama,hi,1937-01-07,0.0,"['Narayan Hari Apte', 'Munshi Aziz']",['Shantaram Rajaram Vankudre'],unknown,"['young', 'husband', 'aging', 'marry', 'lawyer', 'implored', 'find', 'snuffs', 'girl', 'forced', 'idea']",['Drama'],"['neutral', 'serious', 'emotional']"
President,Drama,hi,1937-01-08,5.0,['Nitin Bose'],['Nitin Bose'],unknown,"['bengali', 'triangle', 'tale', 'didi', 'badi bahen', 'story', 'factory', 'idea', 'conditions', 'mill', 'badi', 'credit', 'hindi', 'version', 'film', '1937', 'drama', 'according', 'woman', 'greater', 'romantic', 'liberated', 'social', 'roll', 'different', 'educated', 'called', 'begg', 'content', 'm. m. begg', 'workers', 'managing', 'love', 'bahen', 'developed', 'actors', 'president', 'highlighted', 'starred']",['Drama'],"['serious', 'neutral', 'uplifting']"
Prem Kahani,"Drama, Family, Romance",hi,1937-10-13,0.0,"['J.S. Casshyap', 'S.I. Hassan', 'Niranjan Pal']",['Franz Osten'],unknown,"['match', 'widowed', 'thwart', 'try', 'love', 'arrange', 'respective', 'sisters', 'children', 'marriages']","['Drama', 'Family', 'Romance']","['serious', 'neutral', 'heartwarming']"
Zamana,"Drama, Romance",hi,1938-01-01,0.0,"['Jeevan Dhar', 'Padmadevi']",['Ram Daryani'],unknown,"['obstacles', 'couple', 'married', 'challenges', 'fate', 'playing', 'social', 'pivotal', 'decisions', 'overcoming', 'role']","['Drama', 'Romance']","['thought-provoking', 'serious', 'neutral']"
Bhabhi,"Family, Drama",hi,1938-01-01,0.0,['Saradindu Bandopadhyay'],['Franz Osten'],unknown,"['family', 'young', 'attitude', 'approach', 'relationships', 'indian', 'bigoted', 'film', 'deals', 'issue', 'drama', 'social', 'widows', 'society', 'man-', 'woman', 'focus', 'special']","['Family', 'Drama']","['thought-provoking', 'serious', 'neutral']"
Jailor,Drama,hi,1938-01-01,0.0,"['Kamal Amrohi', 'J.K. Nanda']",['Sohrab Modi'],unknown,"['wife', 'contact', 'falls', 'psychodramatic', 'modi', 'locks', 'role', 'blind', 'forbidding', 'kanwal', 'tyrannical', 'woman', 'lover', 'goes', 'liberal', 'man', 'home', 'jailer', 'bali', 'love', 'loses', 'child']",['Drama'],"['serious', 'neutral', 'uplifting']"
Street Singer,Drama,hi,1938-02-04,5.0,"['Phani Majumdar', 'A.H. Shore']",['Phani Majumdar'],unknown,"['glamorous', 'world', 'street', 'theatre', 'singing', 'making', 'big', 'urchins', 'dream', 'calcutta']",['Drama'],"['neutral', 'serious', 'emotional']"
Professor Vaman M.Sc,"Science Fiction, Horror",hi,1938-10-13,0.0,['Gunwantrai Acharya'],['Manibhai Vyas'],unknown,"['quarrel', 'murder', 'daughter', 'antidote', 'urgent', 'potion', 'professor vaman', 'kishore', 'moon', 'witness', 'wealthy', 'murderous', 'rays', 'realizing', 'disaster', 'lover', 'man', 'city', 'professor', 'dangers', 'late', 'detective', 'citizens', 'brother', 'harnam', 'beast', 'spree', 'producing', 'invents', 'begins', 'avoid', 'invention', 'realizes', 'need', 'vaman', 'drinks', 'turns', 'detective kishore', 'elite']","['Science Fiction', 'Horror']","['dark', 'neutral', 'intense']"
Nirmala,"Drama, Music",hi,1938-10-14,0.0,['J.S. Casshyap'],['Franz Osten'],unknown,"['story', 'rani', 'devika', 'forms', 'place', 'exams', 'latest', 'modern', 'male', 'young', 'dressed', 'fashions', 'crux', 'annual', 'second', 'ramdas', 'age', 'old', 'men', 'college', 'nirmala', 'yearns', 'conflict', 'traditions', 'beautiful', 'motherhood', 'religion', 'girl', 'besting', 'female', 'culture', 'ashok kumar', 'tied', 'attends', 'ashok', 'time', 'husband', 'kumar', 'class']","['Drama', 'Music']","['neutral', 'serious', 'emotional']"
Sapera,Horror,hi,1939-01-01,0.0,"['Lalchand Bismil', 'Debaki Kumar Bose', 'Kazi Nazrul Islam']",['Debaki Kumar Bose'],unknown,"['adapted', 'story', 'poisonous', 'searching', 'bite', 'nawab', 'nazrul', 'deadly', 'snake', 'kazi nazrul', 'film', 'cure', 'led', 'jahar', '100th', 'concerns', 'charmers', 'revenge', 'kazi', 'tribe', 'love', 'islam']",['Horror'],"['scary', 'tense', 'dark']"
Brandy Ki Botal,Drama,hi,1939-01-01,0.0,['Pralhad Keshav Atre'],['Vinayak Karnataki'],unknown,"['adventures', 'municipal', 'son', 'brandy', 'office', 'boss', 'discovers', 'save', 'ill', 'leading', 'clerk']",['Drama'],"['neutral', 'serious', 'emotional']"
Meri Aankhen,Drama,hi,1939-01-01,0.0,"['Khursheed', 'Mazhar Khan', 'Ishwarlal']",['Dwarka Khosla'],unknown,"['sitara devi', 'film', 'sitara', 'starring', 'devi', 'khursheed']",['Drama'],"['neutral', 'serious', 'emotional']"
Leatherface,"Action, Adventure",hi,1939-01-01,0.0,"['Batuk Bhatt', ""Sampatlal 'Anuj' Srivastava""]",['Vijay Bhatt'],unknown,"['sister', 'tiger', 'oppressive', 'hero samar', 'falls', 'stunt', 'chief', 'hero', 'samar', 'shirin', 'mask', 'horse', 'mehtab', 'bahadur', 'film', 'dulari', 'fights', 'led', 'dog', 'revolution', 'tavern', 'faithful', 'ila', 'jairaj', 'warlord', 'band', 'zahoor', 'm. zahoor', 'adventurers', 'leatherface', 'takes', 'state', 'love', 'little']","['Action', 'Adventure']","['uplifting', 'tense', 'dark']"
Kangan,Romance,hi,1939-01-01,0.0,"['Saradindu Bandopadhyay', 'Gajendra Kumar Mitra', 'S. Mukherjee']",['Franz Osten'],unknown,"['ashok kumar', 'classic', 'leela chitnis', 'ashok', 'classic bollywood', 'film', 'chitnis', 'starring', 'kumar', 'leela', 'bollywood']",['Romance'],"['neutral', 'uplifting', 'heartwarming']"
Life's for Living: Aadmi,Drama,hi,1939-01-01,0.0,"['Munshi Aziz', 'A. Bhaskarrao', 'Anant Kanekar']",['Shantaram Rajaram Vankudre'],2h 44m,"['kesar (hublikar', 'moti', 'love', 'kesar', 'prostitute', 'tragedy', 'featuring', 'hublikar', 'policeman', 'modak']",['Drama'],"['serious', 'neutral', 'uplifting']"
