title,genre,language,release_date,imdb_score,cast,directors,movie_duration,plot_keywords,genres,movie_tone
Daddy,"Crime, Drama, History",hi,2017-09-08,6.167,"['Ashim Ahluwalia', 'Sachin Dharekar', 'Asad Hussain']",['Ashim Ahluwalia'],2h 14m,"['arun gulab gawli', 'ibrahim', 'daddy', 'imprisonment', 'story', 'politician', 'gritty', 'worker', 'infamous', 'the day', 'the 1970s', 'sensational', 'chief', 'mill', 'mumbai', '2012', 'true', '1970s', 'son', 'gulab', 'grew', 'impoverished', 'crime', 'rival', 'dagdi', 'history', 'powerful', 'charts', 'life', 'arun', 'chawl', '1980s', 'don', 'day', 'dawood', 'boss', 'dawood ibrahim', 'sentenced', 'gawli', 'dagdi chawl']","['Crime', 'Drama', 'History']","['serious', 'suspenseful', 'neutral']"
Mukkabaaz,Drama,hi,2018-01-12,7.6,"['Anudeep Singh', 'Anurag Kashyap', 'Vineet Kumar Singh']",['Anurag Kashyap'],2h 34m,"['strives', 'trains', 'falls', 'trying', 'local', 'controlled', 'gym', 'sunaina', 'retaliation', 'win', 'marriage', 'match', 'hand', 'caste', 'successful', 'approve', 'don', 'niece', 'avoid', 'low', 'boxer', 'mishra', 'shravan']",['Drama'],"['neutral', 'serious', 'emotional']"
Tikli and Laxmi Bomb,Drama,hi,2017-09-10,8.4,['Aditya Kripalani'],['Aditya Kripalani'],2h 31m,"['business', 'sex', 'women', 'decide', 'form', 'patriarchy', 'workers', 'runs', 'system', 'cooperative', 'overarching', 'things', 'kick', 'men', 'overbearing']",['Drama'],"['neutral', 'serious', 'emotional']"
B. A. Pass 2,Drama,hi,2017-09-15,7.0,['Shadab Khan'],['Shadab Khan'],2h 5m,"['pass', 'young', 'marriage', 'avoid', 'story', 'achieve', 'b. a. pass', 'makes', 'goals', 'ill', 'life', 'habits', 'order', 'wrong', 'decisions', 'girl', 'adopts', 'ruin']",['Drama'],"['neutral', 'serious', 'emotional']"
Lucknow Central,"Drama, Action, Thriller",hi,2017-09-15,6.4,"['Aseem Arrora', 'Ranjit Tewari']",['Ranjit Tewari'],2h 13m,"['murder', 'worker', 'dreaded', 'central', 'death', 'gayatri', 'held', 'provides', 'talented', 'kashyap', 'kishen', 'mohan', 'convinces', 'kishen mohan girhotra', 'competition', 'lucknow', 'form', 'musical', 'new', 'accused', 'lease', 'criminals', 'gayatri kashyap', 'band', 'life', 'ngo', 'girhotra', 'compete', 'befriends', 'penalty', 'prisoners', 'purpose', 'bunch', 'jail', 'compelled', 'awaiting']","['Drama', 'Action', 'Thriller']","['tense', 'serious', 'dark']"
Patel Ki Punjabi Shaadi,Comedy,hi,2017-09-15,6.7,"['Rishi Kapoor', 'Paresh Rawal', 'Vir Das']",['Sanjay Chhel'],2h,"['family', 'played', 'paresh', 'comedy', 'rishi', 'clash', 'rishi kapoor', 'cultural', 'punjabi', 'gujarati', 'paresh rawal and punjabi played', 'kapoor', 'movie', 'rawal']",['Comedy'],"['neutral', 'lighthearted', 'funny']"
Simran,"Drama, Crime, Thriller",hi,2017-09-15,4.9,"['Apurva Asrani', 'Chintan Shah']",['Hansal Mehta'],2h 4m,"['states', 'world', 'allows', 'housekeeper', 'leads', 'united', 'involved', 'working', 'gujarati', 'ambitions', 'overpower', 'crime', 'the united states']","['Drama', 'Crime', 'Thriller']","['serious', 'tense', 'suspenseful']"
Union Leader,Drama,hi,2017-09-17,7.1,"['Sanjay Patel', 'John Winston Rainey', 'Chinmay Sankrat']",['Sanjay Patel'],1h 46m,"['jay', 'family', 'shoddy', 'way', 'realizes', 'fate', 'worker', 'find', 'overcome', 'support', 'system', 'social', 'chemical', 'injustice', 'resigned', 'grave', 'plant', 'legal']",['Drama'],"['thought-provoking', 'serious', 'neutral']"
Have You Met You,"Mystery, Short, Thriller",hi,2017-09-20,0.0,['Karan Wahi'],['Karan Wahi'],unknown,"['searching', 'explore', 'lies', 'answer', 'questions', 'need']","['Mystery', 'Short', 'Thriller']","['suspenseful', 'neutral', 'tense']"
Jiya Jaye,Drama,hi,2017-09-21,0.0,['Dahlia Sen Oberoi'],['Palash Sen'],unknown,"['short', 'brings', 'tears', 'watch', 'jaye', 'conflicted', 'love', 'leaves', 'feeling', 'jiya', 'film', 'smile', 'turmoil', 'despair', 'jiya jaye', 'time', 'pain', 'based']",['Drama'],"['serious', 'neutral', 'uplifting']"
J.D.,Drama,hi,2017-09-22,1.0,"['Shailendra Pandey', 'Kumar Vijay']",['Shailendra Pandey'],2h 7m,"['fellow', 'rape', 'politician', 'use', 'faced', 'journalist', 'shows', 'hardships', 'film', 'media', 'life', 'charges', 'benefit', 'based', 'jd']",['Drama'],"['neutral', 'serious', 'emotional']"
The Final Exit,"Horror, Thriller",hi,2017-09-22,0.0,['Dhwanil Mehta'],['Dhwanil Mehta'],unknown,"['decides', 'posing', 'place', 'suggests', 'distractions', 'drugs', 'marker', 'vidyut sehgal', 'doctor', 'alcohol', 'reach', 'seeing', 'phone', 'dreams', 'woman', 'shrine', 'sehgal', 'abstain', 'videos', 'fashion', 'photographer', 'life', 'enters', 'sending', 'vidyut', 'mysterious', 'entity', 'helps', 'women', 'troubled', 'advises', 'follow', 'bedroom', 'substances', 'strange', 'friend', 'sees', 'sent']","['Horror', 'Thriller']","['scary', 'tense', 'dark']"
Haseena Parkar,"Crime, Drama",hi,2017-09-22,5.3,"['Suresh Nair', 'Chintan Gandhi']",['Apoorva Lakhia'],2h 15m,"['rises', 'underworld', 'close', 'dawood', 'escapes', 'trouble', 'haseena', 'falls', 'blasts', 'dubai', 'life', 'bomb', 'brother', 'crime', 'power', 'turns', '1993', 'mumbai']","['Crime', 'Drama']","['serious', 'suspenseful', 'neutral']"
Bhoomi,"Action, Drama",hi,2017-09-22,6.0,"['Atul Kumar', 'Sandeep Singh', 'Raaj Shaandilyaa']",['Omung Kumar'],2h 16m,"['revenge', 'planning', 'shattered', 'gang', 'bhoomi', 'daughter', 'bit', 'smith', 'discovers', 'grieve', 'arun', 'sachdeva', 'father', 'shoe', 'arun sachdeva', 'raped', 'dhauli']","['Action', 'Drama']","['serious', 'tense', 'dark']"
Newton,"Comedy, Drama",hi,2017-09-22,7.126,"['Amit Masurkar', 'Mayank Tewari']",['Amit Masurkar'],1h 46m,"['jungle', 'india', 'fear', 'central', 'central india', 'apathy', 'ridden', 'election', 'fair', 'guerrilla', 'clerk', 'duty', 'forces', 'conflict', 'conduct', 'voting', 'rebels', 'communist', 'government', 'attacks', 'tries', 'looming', 'security', 'best', 'free']","['Comedy', 'Drama']","['serious', 'neutral', 'lighthearted']"
